@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 76\nSize of the tree: 86\n','Number of leaves: 63\nSize of the tree: 72\n','Number of leaves: 72\nSize of the tree: 81\n','Number of leaves: 84\nSize of the tree: 95\n','Number of leaves: 84\nSize of the tree: 94\n','Number of leaves: 64\nSize of the tree: 74\n','Number of leaves: 68\nSize of the tree: 76\n','Number of leaves: 75\nSize of the tree: 85\n','Number of leaves: 70\nSize of the tree: 80\n','Number of leaves: 77\nSize of the tree: 87\n','Number of leaves: 71\nSize of the tree: 80\n','Number of leaves: 83\nSize of the tree: 94\n','Number of leaves: 96\nSize of the tree: 106\n','Number of leaves: 85\nSize of the tree: 96\n','Number of leaves: 73\nSize of the tree: 83\n','Number of leaves: 79\nSize of the tree: 88\n','Number of leaves: 83\nSize of the tree: 93\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 91\nSize of the tree: 100\n','Number of leaves: 91\nSize of the tree: 99\n','Number of leaves: 80\nSize of the tree: 89\n','Number of leaves: 87\nSize of the tree: 95\n','Number of leaves: 99\nSize of the tree: 109\n','Number of leaves: 96\nSize of the tree: 105\n','Number of leaves: 83\nSize of the tree: 90\n','Number of leaves: 90\nSize of the tree: 99\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 85\nSize of the tree: 95\n','Number of leaves: 86\nSize of the tree: 94\n','Number of leaves: 92\nSize of the tree: 101\n','Number of leaves: 98\nSize of the tree: 108\n','Number of leaves: 108\nSize of the tree: 117\n','Number of leaves: 100\nSize of the tree: 110\n','Number of leaves: 95\nSize of the tree: 104\n','Number of leaves: 92\nSize of the tree: 103\n','Number of leaves: 112\nSize of the tree: 122\n','Number of leaves: 91\nSize of the tree: 102\n','Number of rules: 21\n','Number of rules: 20\n','Number of rules: 18\n','Number of rules: 22\n','Number of rules: 19\n','Number of rules: 25\n','Number of rules: 23\n','Number of rules: 24\n','Number of rules: 17\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.959215,0.00537,0.054476,2.852252,18.046798,73.453657,1.567041,71.886617,1.360253,0.029019,1.331234,71.886617,1.331234,97.866627,1,39,0,0,1,15,0,0,1,1,1,1,1,1,0.981481,0.002315,0.997685,0.018519,0.984127,0.981481,0.980871,0.980125,1,1,0.956044,0.981481,0.005,0,0.015625,0,15.625,0,26148,77390,12128,100,20.740741,'Number of leaves: 75\nSize of the tree: 85\n',85,75,75
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.961538,0.008889,0.086327,4.641469,28.047552,78.437163,1074.33985,-995.902687,1.42613,19.533452,-18.107322,73.005704,1.327376,93.075401,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.979798,0.980791,0.98984,0.963085,0.911111,0.981818,0,0,0,0,0,0,25180,77241,12277,98.181818,20.727273,'Number of leaves: 72\nSize of the tree: 81\n',81,72,72
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.961538,0.010424,0.070151,5.443177,22.792177,78.437163,2.906891,75.530273,1.42613,0.052853,1.373278,75.530273,1.373278,96.293988,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.981818,0.002226,0.997774,0.018182,0.984416,0.981818,0.981219,0.98052,0.999272,0.988745,0.956044,0.981818,0.005,0,0,0,0,0,26390,77241,12277,100,21.454545,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.961646,0.007273,0.08528,3.797565,27.707569,78.437163,1074,-995.562837,1.42613,19.527273,-18.101142,75.203845,1.367343,95.877824,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.982002,0.981175,0.990196,0.969256,0.959596,0.981818,0,0,0,0,0,0,26390,77241,12277,98.181818,20,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.961646,0.013333,0.096525,6.962203,31.361138,78.437163,1075.473931,-997.036768,1.42613,19.554071,-18.127941,73.729914,1.340544,93.998701,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.982002,0.981175,0.989654,0.963499,0.959596,0.981818,0,0,0,0,0,0,26390,77241,12277,98.181818,21.090909,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,51,4,0,92.727273,7.272727,0,0.846369,0.029091,0.144866,15.190261,47.066819,78.437163,11.692594,66.744569,1.42613,0.212593,1.213538,67.327169,1.22413,85.835803,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.927273,0.007305,0.992695,0.072727,0.924848,0.927273,0.924387,0.91809,0.994878,0.948503,0.825397,0.927273,0,0,0,0,0,0,24938,77241,12277,100,22.909091,'Number of leaves: 70\nSize of the tree: 80\n',80,70,70
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.963186,0.007071,0.065349,3.621103,20.774002,80.981035,2.33985,78.641185,1.472382,0.042543,1.42984,78.641185,1.42984,97.11062,1,38,0,0,1,17,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.979798,0.980791,1,1,0.911111,0.981818,0,0,0,0,0,0,26632,77241,12277,100,21.090909,'Number of leaves: 77\nSize of the tree: 87\n',87,77,77
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.961235,0.008148,0.062657,4.241601,20.286039,75.997529,2.210897,73.786632,1.407362,0.040943,1.366419,73.786632,1.366419,97.090831,1,38,0,0,1,16,0,0,1,1,1,1,1,1,0.981481,0.001481,0.998519,0.018519,0.985185,0.981481,0.981798,0.980641,0.999618,0.993981,0.962393,0.981481,0,0,0,0,0,0,25180,77390,12128,100,21.111111,'Number of leaves: 72\nSize of the tree: 81\n',81,72,72
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,54,0,0,100,0,0,1,0.001481,0.017213,0.7712,5.573004,75.997529,0.321928,75.675601,1.407362,0.005962,1.4014,75.675601,1.4014,99.576397,1,38,0,0,1,16,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77390,12128,100,20.37037,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,51,3,0,94.444444,5.555556,0,0.883704,0.018069,0.117694,9.405889,38.104969,75.997529,7.18175,68.815779,1.407362,0.132995,1.274366,68.815779,1.274366,90.550021,1,38,0,0,1,16,0,0,1,1,1,1,1,1,0.944444,0.003457,0.996543,0.055556,0.971451,0.944444,0.937654,0.9442,1,1,0.766667,0.944444,0,0,0,0,0,0,24938,77390,12128,100,21.481481,'Number of leaves: 71\nSize of the tree: 80\n',80,71,71
