@relation Example1 
@attribute PosX numeric 
@attribute PosY numeric 
@attribute isNorthLegal {True, False} 
@attribute isEastLegal {True, False} 
@attribute isSouthLegal {True, False} 
@attribute isWestLegal {True, False} 
@attribute Direction {Stop, North, South, East, West} 
@attribute Ghost1X numeric 
@attribute Ghost1Y numeric 
@attribute Ghost1Distance numeric 
@attribute Ghost2X numeric 
@attribute Ghost2Y numeric 
@attribute Ghost2Distance numeric 
@attribute Ghost3X numeric 
@attribute Ghost3Y numeric 
@attribute Ghost3Distance numeric 
@attribute Ghost4X numeric 
@attribute Ghost4Y numeric 
@attribute Ghost4Distance numeric  
@attribute NumberOfDots numeric 
@attribute NearestDotDistance numeric 
@attribute CurrentScore numeric 
@attribute FutureScore numeric 
@attribute FutureDirection {Stop, North, South, East, West} 
@data 
9,3,False,True,False,True,East,1,1,?,1,5,10,10,5,3,17,1,?,22,5,-14,-15,East
10,3,False,False,False,True,East,1,1,?,1,5,11,10,5,2,17,1,?,22,4,-15,-16,West
9,3,False,True,False,True,West,1,1,?,1,5,10,10,5,3,17,1,?,22,5,-16,-17,West
8,3,False,True,True,True,West,1,1,?,1,5,9,10,5,4,17,1,?,22,4,-17,-18,South
8,2,True,False,True,True,South,1,1,?,1,5,10,10,5,5,17,1,?,22,3,-18,-19,South
8,1,True,True,False,True,South,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-19,-20,West
7,1,True,True,False,True,West,1,1,?,1,5,10,10,5,7,17,1,?,22,2,-20,-21,West
6,1,False,True,False,True,West,1,1,?,1,5,9,10,5,8,17,1,?,22,1,-21,78,West
5,1,True,True,False,True,West,1,1,?,1,5,8,10,5,9,17,1,?,21,1,78,177,West
4,1,False,True,False,True,West,1,1,?,1,5,7,10,5,10,17,1,?,20,1,177,276,West
3,1,False,True,False,True,West,1,1,?,1,5,6,10,5,11,17,1,?,19,1,276,375,West
2,1,False,True,False,True,West,1,1,?,1,5,5,10,5,12,17,1,?,18,2,375,774,West
1,1,True,True,False,False,West,1,1,?,1,5,4,10,5,13,17,1,?,18,1,774,873,North
1,2,True,False,True,False,North,1,1,?,1,5,3,10,5,12,17,1,?,17,1,873,972,North
1,3,True,False,True,False,North,1,1,?,1,5,2,10,5,11,17,1,?,16,1,972,1071,North
1,4,True,False,True,False,North,1,1,?,1,5,1,10,5,10,17,1,?,15,2,1071,1270,North
1,5,False,True,True,False,North,1,1,?,3,1,?,10,5,9,17,1,?,15,1,1270,1369,East
2,5,False,True,False,True,East,1,1,?,3,1,?,10,5,8,17,1,?,14,6,1369,1368,East
3,5,False,True,True,True,East,1,1,?,3,1,?,10,5,7,17,1,?,14,5,1368,1367,South
3,4,True,False,True,False,South,1,1,?,3,1,?,10,5,8,17,1,?,14,4,1367,1366,South
3,3,True,False,False,False,South,1,1,?,3,1,?,10,5,9,17,1,?,14,3,1366,1365,North
3,4,True,False,True,False,North,1,1,?,3,1,?,10,5,8,17,1,?,14,4,1365,1364,North
3,5,False,True,True,True,North,1,1,?,3,1,?,10,5,7,17,1,?,14,5,1364,1363,West
2,5,False,True,False,True,West,1,1,?,3,1,?,10,5,8,17,1,?,14,6,1363,1362,West
1,5,False,True,True,False,West,1,1,?,3,1,?,10,5,9,17,1,?,14,7,1362,1361,South
1,4,True,False,True,False,South,1,1,?,3,1,?,10,5,10,17,1,?,14,6,1361,1360,South
1,3,True,False,True,False,South,1,1,?,3,1,?,10,5,11,17,1,?,14,5,1360,1359,South
1,2,True,False,True,False,South,1,1,?,3,1,?,10,5,12,17,1,?,14,4,1359,1758,South
1,1,True,True,False,False,South,1,1,?,3,1,?,10,5,13,17,1,?,14,5,1758,1757,East
2,1,False,True,False,True,East,1,1,?,3,1,?,10,5,12,17,1,?,14,4,1757,2156,East
3,1,False,True,False,True,East,1,1,?,3,1,?,10,5,11,17,1,?,14,3,2156,2155,East
4,1,False,True,False,True,East,1,1,?,3,1,?,10,5,10,17,1,?,14,2,2155,2154,East
5,1,True,True,False,True,East,1,1,?,3,1,?,10,5,9,17,1,?,14,1,2154,2253,North
5,2,True,False,True,False,North,1,1,?,3,1,?,10,5,8,17,1,?,13,9,2253,2252,North
5,3,True,False,True,False,North,1,1,?,3,1,?,10,5,7,17,1,?,13,9,2252,2251,North
5,4,True,False,True,False,North,1,1,?,3,1,?,10,5,6,17,1,?,13,9,2251,2250,North
5,5,False,True,True,True,North,1,1,?,3,1,?,10,5,5,17,1,?,13,9,2250,2249,East
6,5,False,True,False,True,East,1,1,?,3,1,?,10,5,4,17,1,?,13,8,2249,2248,East
7,5,False,True,False,True,East,1,1,?,3,1,?,10,5,3,17,1,?,13,7,2248,2247,East
8,5,False,True,False,True,East,1,1,?,3,1,?,10,5,2,17,1,?,13,6,2247,2246,East
9,5,False,True,False,True,East,1,1,?,3,1,?,10,5,1,17,1,?,13,5,2246,2445,East
10,5,False,True,False,True,East,1,1,?,3,1,?,5,1,?,17,1,?,13,4,2445,2444,East
11,5,False,True,False,True,East,1,1,?,3,1,?,5,1,?,17,1,?,13,3,2444,2443,East
12,5,False,True,True,True,East,1,1,?,3,1,?,5,1,?,17,1,?,13,2,2443,2442,East
13,5,False,True,False,True,East,1,1,?,3,1,?,5,1,?,17,1,?,13,1,2442,2541,East
14,5,False,True,True,True,East,1,1,?,3,1,?,5,1,?,17,1,?,12,1,2541,2640,East
15,5,False,True,False,True,East,1,1,?,3,1,?,5,1,?,17,1,?,11,1,2640,2739,East
16,5,False,True,False,True,East,1,1,?,3,1,?,5,1,?,17,1,?,10,1,2739,2838,East
17,5,False,False,True,True,East,1,1,?,3,1,?,5,1,?,17,1,?,9,1,2838,2937,South
17,4,True,False,True,False,South,1,1,?,3,1,?,5,1,?,17,1,?,8,1,2937,3036,South
17,3,True,False,True,False,South,1,1,?,3,1,?,5,1,?,17,1,?,7,1,3036,3135,South
17,2,True,False,True,False,South,1,1,?,3,1,?,5,1,?,17,1,?,6,2,3135,0,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,7,35,0,?,0,-1,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,7,35,0,?,-1,-2,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,7,35,0,?,-2,-3,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,7,35,0,?,-3,-4,South
1,17,True,False,True,False,South,5,9,12,11,3,24,17,6,27,25,7,34,0,?,-4,-5,South
1,16,True,True,True,False,South,5,9,11,11,3,23,17,6,26,25,7,33,0,?,-5,-6,South
1,15,True,True,True,False,South,5,9,10,11,3,22,17,6,25,25,7,32,0,?,-6,-7,South
1,14,True,True,True,False,South,5,9,9,11,3,21,17,6,24,25,7,31,0,?,-7,-8,South
1,13,True,False,True,False,South,5,9,8,11,3,20,17,6,23,25,7,30,0,?,-8,-9,South
1,12,True,True,True,False,South,5,9,7,11,3,19,17,6,22,25,7,29,0,?,-9,-10,South
1,11,True,False,True,False,South,5,9,6,11,3,18,17,6,21,25,7,28,0,?,-10,-11,South
1,10,True,False,True,False,South,5,9,5,11,3,17,17,6,20,25,7,27,0,?,-11,-12,South
1,9,True,False,True,False,South,5,9,4,11,3,16,17,6,19,25,7,26,0,?,-12,-13,South
1,8,True,False,True,False,South,5,9,5,11,3,15,17,6,18,25,7,25,0,?,-13,-14,South
1,7,True,False,True,False,South,5,9,6,11,3,14,17,6,17,25,7,24,0,?,-14,-15,South
1,6,True,True,True,False,South,5,9,7,11,3,13,17,6,16,25,7,25,0,?,-15,-16,East
2,6,False,True,True,True,East,5,9,6,11,3,12,17,6,15,25,7,24,0,?,-16,-17,East
3,6,True,True,True,True,East,5,9,5,11,3,11,17,6,14,25,7,23,0,?,-17,-18,North
3,7,True,True,True,False,North,5,9,4,11,3,12,17,6,15,25,7,22,0,?,-18,-19,North
3,8,True,True,True,False,North,5,9,3,11,3,13,17,6,16,25,7,23,0,?,-19,-20,North
3,9,True,True,True,False,North,5,9,2,11,3,14,17,6,17,25,7,24,0,?,-20,-21,East
4,9,True,True,True,True,East,5,9,1,11,3,13,17,6,16,25,7,23,0,?,-21,178,East
5,9,True,True,True,True,East,1,1,?,11,3,12,17,6,15,25,7,22,0,?,178,177,South
5,8,True,True,True,True,South,1,1,?,11,3,11,17,6,14,25,7,21,0,?,177,176,South
5,7,True,True,True,True,South,1,1,?,11,3,10,17,6,13,25,7,20,0,?,176,175,South
5,6,True,True,True,True,South,1,1,?,11,3,9,17,6,12,25,7,21,0,?,175,174,South
5,5,True,False,True,True,South,1,1,?,11,3,8,17,6,13,25,7,22,0,?,174,173,South
5,4,True,False,True,True,South,1,1,?,11,3,7,17,6,14,25,7,23,0,?,173,172,South
5,3,True,True,False,True,South,1,1,?,11,3,6,17,6,15,25,7,24,0,?,172,171,East
6,3,False,True,False,True,East,1,1,?,11,3,5,17,6,14,25,7,23,0,?,171,170,East
7,3,False,True,False,True,East,1,1,?,11,3,4,17,6,13,25,7,22,0,?,170,169,East
8,3,True,True,False,True,East,1,1,?,11,3,3,17,6,12,25,7,21,0,?,169,168,East
9,3,True,True,False,True,East,1,1,?,11,3,2,17,6,11,25,7,20,0,?,168,167,East
10,3,True,True,False,True,East,1,1,?,11,3,1,17,6,10,25,7,19,0,?,167,366,East
11,3,True,False,False,True,East,1,1,?,3,1,?,17,6,9,25,7,18,0,?,366,365,North
11,4,True,False,True,True,North,1,1,?,3,1,?,17,6,8,25,7,17,0,?,365,364,North
